分类,问题,相似问题,反例问题,机器人回答
使用指南相关问题,为什么移动端安装时显示安全风险提示？,安装时提示有风险##安装时显示不安全##为什么安装时警告##安全提示是什么意思,如何卸载应用##应用在哪里下载,由于应用正在申请软件著作权，尚未上架到应用商店，因此系统会显示安全提示。这是正常现象，应用本身是安全的，可以放心安装使用。##这是正常现象，应用本身是安全的，可以放心安装使用。##我们正在申请软件著作权，完成后会上架到应用商店
使用指南相关问题,非会员只能分类100张照片吗？,免费版能分类多少照片##非会员有什么限制##免费用户能处理多少照片##会员和非会员有什么区别,如何开通会员##会员多少钱,是的，非会员每次扫描只处理最近的100张照片。##开通会员后可以无限制扫描和分类所有照片。##非会员版本每次扫描只处理最近的100张照片，这是为了确保免费用户也能体验核心功能
使用指南相关问题,如何只整理微信的图片？,怎么整理微信图片##微信照片怎么分类##如何只扫描微信目录##微信图片在哪里,如何整理所有照片##怎么扫描整个相册,"在设置页面的""照片目录""区域，点击""💬 微信目录""快捷按钮，应用会自动检测并添加微信图片目录。##打开设置页面，找到""照片目录""区域，点击""💬 微信目录""快捷按钮即可。##应用会自动检测并添加微信图片目录，无需手动输入路径"
使用指南相关问题,扫描需要联网吗？,必须联网才能用吗##离线可以用吗##需要网络吗##不联网能分类吗,如何连接网络##网络设置在哪里,应用支持两种模式：联网模式（推荐）使用云端大模型的照片理解能力，分类效果更准确；离线模式使用本地小模型，完全本地处理，保护隐私。##联网模式（推荐）：扫描时需要联网，使用云端大模型的照片理解能力，分类效果更准确，识别更智能。所有处理结果保存在本地，原始照片服务器侧不会存储。##离线模式：扫描时无需联网，使用本地小模型进行图像识别后分类，分类效果不如大模型理想，但可以满足基本需求，完全本地处理，保护隐私。##如果网络条件允许，建议使用联网模式以获得更好的分类效果
使用指南相关问题,会员是永久的吗？,会员有效期多久##会员会过期吗##一次付费能用多久##终身会员是什么意思,如何开通会员##会员多少钱##如何取消会员,是的，开通会员后是终身会员，一次付费，永久使用。##开通会员后是终身会员，一次付费，永久使用，无需续费。##会员是永久有效的，一次购买终身使用
权限设置相关问题,为什么需要这么多权限？,为什么要这么多权限##权限是干什么用的##为什么需要访问照片##权限有什么用,如何卸载应用##应用在哪里,芯图相册是一个照片管理和分类应用，需要访问您的照片才能进行分类和管理。##所有权限都是为了实现核心功能所必需的，应用不会滥用这些权限。##照片管理和分类功能需要访问照片权限，这是应用的核心功能
权限设置相关问题,如果拒绝某些权限，应用还能正常使用吗？,不授权权限能用吗##拒绝权限会怎样##哪些权限必须给##哪些权限可以不给,如何卸载应用##应用在哪里下载,相册/存储权限必须授予，否则无法扫描照片。##媒体位置权限可以不授予，但无法按地点分类照片。##通知权限建议授予，否则后台扫描功能可能无法正常工作。##管理所有文件权限可以不授予，但无法删除其他应用创建的文件
权限设置相关问题,应用会泄露我的隐私吗？,隐私安全吗##会泄露照片吗##照片会上传吗##数据安全吗,如何卸载应用##应用在哪里,不会。芯图相册严格遵守隐私保护原则：所有照片处理都在本地完成，不会上传照片到服务器，不会访问其他类型的文件，不会追踪您的位置信息。##所有照片处理都在本地完成，不会上传照片到服务器。##不会访问其他类型的文件，不会追踪您的位置信息。##完全本地处理，保护您的隐私安全
权限设置相关问题,如何查看应用的权限使用情况？,怎么查看权限##权限在哪里看##如何查看已授权权限##权限列表在哪里,如何卸载应用##应用在哪里,打开手机设置，找到应用或应用管理，找到芯图相册，点击权限，查看已授予的权限列表。##步骤：1. 打开手机设置；2. 找到应用或应用管理；3. 找到芯图相册；4. 点击权限；5. 查看已授予的权限列表
权限设置相关问题,如何撤销已授予的权限？,怎么取消权限##如何关闭权限##权限怎么撤销##怎么收回权限,如何授权权限##权限在哪里设置,打开手机设置，找到应用或应用管理，找到芯图相册，点击权限，找到需要撤销的权限，关闭对应的开关。##步骤：1. 打开手机设置；2. 找到应用或应用管理；3. 找到芯图相册；4. 点击权限；5. 找到需要撤销的权限；6. 关闭对应的开关。##注意：撤销某些权限可能会影响应用的正常使用
权限设置相关问题,"为什么""管理所有文件""权限无法在应用内申请？",管理所有文件权限怎么申请##为什么不能申请权限##权限申请不了##特殊权限怎么设置,如何授权权限##权限在哪里,"这是Android系统的安全机制。为了保护用户隐私，Android系统将""管理所有文件""权限设置为特殊权限，必须由用户手动在系统设置中开启，应用无法直接申请。##这是Android系统的安全机制，必须由用户手动在系统设置中开启。##应用无法直接申请此权限，需要您手动在系统设置中开启"
权限设置相关问题,"华为手机设置界面找不到""管理所有文件""选项？",华为手机权限在哪里##华为手机怎么设置权限##找不到权限选项##华为手机特殊权限,其他品牌手机权限设置##小米手机权限设置,"不同品牌的手机设置界面可能略有不同：华为手机可能显示为""文件和媒体"" → ""所有文件""，或者""存储"" → ""管理所有文件""。##华为手机可能显示为""文件和媒体"" → ""所有文件""，或者""存储"" → ""管理所有文件""。##如果找不到，可以尝试在设置中搜索""芯图相册""或""权限"""
照片清理相关问题,如何恢复误删的照片？,照片删除了怎么恢复##误删照片怎么办##照片能恢复吗##删除的照片在哪里,如何删除照片##怎么清理照片,"删除操作会将照片移动到手机相册的回收站，可以从回收站恢复。##恢复方法：1. 打开手机自带的相册应用；2. 找到""回收站""或""最近删除""文件夹；3. 找到误删的照片，选择恢复；4. 照片会被恢复到原来的位置。##回收站中的照片通常会在30天后自动永久删除，请及时恢复重要照片"
照片清理相关问题,分类不准确怎么办？,分类错了怎么改##如何修改分类##分类不对怎么办##怎么调整分类,如何开始分类##怎么扫描照片,"如果发现分类不准确，可以选中照片，点击""修改分类""按钮，选择正确的分类，照片会被移动到新分类。##步骤：1. 选中照片；2. 点击""修改分类""按钮；3. 选择正确的分类；4. 照片会被移动到新分类"
照片清理相关问题,可以批量修改分类吗？,能批量改分类吗##多张照片一起改分类##批量调整分类##一次改多张照片分类,如何单张修改分类##怎么一张一张改,"可以。选中多张照片后，点击""修改分类""按钮，选择新分类，所有选中的照片会被移动到新分类。##选中多张照片后，点击""修改分类""按钮，选择新分类即可。##支持批量修改分类，提高整理效率"
照片清理相关问题,暂存箱中的照片会占用存储空间吗？,暂存箱占用空间吗##暂存箱会占内存吗##删除暂存箱能释放空间吗##暂存箱照片占地方吗,如何清空暂存箱##暂存箱在哪里,会。暂存箱中的照片仍然占用存储空间。##删除后，照片会进入手机相册的回收站，存储空间会在回收站清理后释放。##如果需要立即释放存储空间，可以在回收站中永久删除照片
照片清理相关问题,如何快速清理大量照片？,怎么快速清理照片##大量照片怎么整理##如何批量清理##照片太多怎么处理,如何恢复照片##怎么备份照片,建议按照以下顺序清理：1. 手机截图：全选放入暂存箱；2. 其它：挑选放入暂存箱；3. 美食记录/宠物萌照：挑选放入暂存箱；4. 暂存箱：最后确认并删除。##按照分类顺序清理：先处理截图，再处理其他类型，最后统一在暂存箱中确认删除
照片清理相关问题,分类是基于什么技术的？,分类技术是什么##用的什么AI##怎么识别照片##识别原理是什么,如何开始分类##怎么使用,分类是基于AI大模型对照片内容的深度理解，而不是传统的图像识别技术。##这种技术能够理解照片的场景和意义，分类更贴近用户的实际使用场景。##使用先进的AI大模型技术，能够深度理解照片内容，分类更准确
